[SUCCESS #1] 2026/3/29 07:05:25 | ::ffff:127.0.0.1 | ark-code-latest | Tokens:1858+9 | Req:5.7KB | Resp:3.2KB | 07:05:26 | 200 | 1.85s | 02177473912518520e33ae3714a969f29832d54235fd2cc312ebe
[SUCCESS #11] 2026/3/29 07:06:04 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:18023+384+188r-16440c | Req:68.5KB | Resp:95.8KB | 07:06:30 | 200 | 26.28s | 02177473916467342e276d595e9cfc376ad966d4ec21246678d83
[SUCCESS #13] 2026/3/29 07:06:09 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:18361+286+59r | Req:69.0KB | Resp:65.0KB | 07:06:33 | 200 | 24.18s | 02177473916958942e276d595e9cfc376ad966d4ec21246b0fb74
[SUCCESS #15] 2026/3/29 07:06:11 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:18184+289+70r-16440c | Req:69.0KB | Resp:56.5KB | 07:06:34 | 200 | 23.26s | 0217747391712310076f3f588c303a7ab8265369cf81576bb895f
[SUCCESS #16] 2026/3/29 07:06:08 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:20129+295+131r-16440c | Req:74.5KB | Resp:72.4KB | 07:06:34 | 200 | 26.66s | 02177473916815564d8a6219dbbdb6281842e0590025e92868e11
[SUCCESS #17] 2026/3/29 07:06:15 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:69.3KB | Resp:111.0KB | 07:06:42 | 200 | 26.93s | 021774739175479d05e5c3b12045884e5304df23f9a3a83dae87d
[SUCCESS #18] 2026/3/29 07:06:24 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:22905+478+248r-16696c | Req:83.5KB | Resp:127.3KB | 07:06:49 | 200 | 25.47s | 021774739184264b060a07fba38d5479db0751ac158bec5d3ec56
[SUCCESS #19] 2026/3/29 07:06:38 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:20684+238+41r-16440c | Req:79.3KB | Resp:50.1KB | 07:06:59 | 200 | 20.40s | 021774739198866336c0ccc8833e375a271994f02c20b09ab8461
[SUCCESS #20] 2026/3/29 07:06:37 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:27609+245+76r-19000c | Req:99.1KB | Resp:62.8KB | 07:07:03 | 200 | 25.63s | 02177473919784342e276d595e9cfc376ad966d4ec212463e16dc
[SUCCESS #21] 2026/3/29 07:06:39 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:41994+138+37r-16440c | Req:151.6KB | Resp:34.2KB | 07:07:06 | 200 | 27.00s | 02177473919913942e276d595e9cfc376ad966d4ec21246d22022
[SUCCESS #22] 2026/3/29 07:07:05 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:41436+133+38r | Req:160.7KB | Resp:32.5KB | 07:07:48 | 200 | 42.90s | 021774739225925336c0ccc8833e375a271994f02c20b09a024cd
[ERROR #1] 2026/3/29 07:08:10 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:179.6KB | Resp:0.3KB | 07:08:10 | 429 | 90.19s | 02177473920067464d8a6219dbbdb6281842e0590025e9225cffa
[ERROR #2] 2026/3/29 07:08:10 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:126.6KB | Resp:0.3KB | 07:08:10 | 429 | 90.21s | 0217747392008140076f3f588c303a7ab8265369cf815761d6e07
[ERROR #3] 2026/3/29 07:08:17 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:113.4KB | Resp:0.3KB | 07:08:17 | 429 | 90.26s | 021774739207264a7f4d4af3e382e8c5fe721af27b2ecdf4f70cf
[ERROR #4] 2026/3/29 07:08:38 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:117.6KB | Resp:0.3KB | 07:08:38 | 429 | 90.23s | 02177473922811142e276d595e9cfc376ad966d4ec2124663dd3f
[ERROR #5] 2026/3/29 07:08:38 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:152.3KB | Resp:0.3KB | 07:08:38 | 429 | 90.18s | 02177473922827742e276d595e9cfc376ad966d4ec2124676d747
[SUCCESS #23] 2026/3/29 07:06:57 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:88922+317+82r-16440c | Req:278.3KB | Resp:65.6KB | 07:08:36 | 200 | 98.84s | 021774739217600b060a07fba38d5479db0751ac158bec5af33f1
[SUCCESS #24] 2026/3/29 07:06:50 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:39863+179+50r-16440c | Req:157.2KB | Resp:40.1KB | 07:08:38 | 200 | 108.45s | 021774739210252d05e5c3b12045884e5304df23f9a3a838f96f3
[ERROR #6] 2026/3/29 07:09:20 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:161.4KB | Resp:0.3KB | 07:09:20 | 429 | 90.20s | 021774739270695336c0ccc8833e375a271994f02c20b09293c48
[ERROR #7] 2026/3/29 07:09:43 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:179.6KB | Resp:0.3KB | 07:09:43 | 429 | 90.18s | 02177473929288064d8a6219dbbdb6281842e0590025e9293fc5a
[ERROR #8] 2026/3/29 07:09:43 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:126.6KB | Resp:0.3KB | 07:09:43 | 429 | 90.18s | 0217747392930300076f3f588c303a7ab8265369cf8157659362f
[ERROR #9] 2026/3/29 07:09:49 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:113.4KB | Resp:0.3KB | 07:09:49 | 429 | 90.19s | 021774739299484a7f4d4af3e382e8c5fe721af27b2ecdfe3c63f
[ERROR #10] 2026/3/29 07:10:10 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:117.6KB | Resp:0.3KB | 07:10:10 | 429 | 90.20s | 02177473932034942e276d595e9cfc376ad966d4ec212465e4c5e
[ERROR #11] 2026/3/29 07:10:10 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:152.3KB | Resp:0.3KB | 07:10:10 | 429 | 90.18s | 02177473932046442e276d595e9cfc376ad966d4ec212465a0839
[ERROR #12] 2026/3/29 07:10:12 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:304.8KB | Resp:0.3KB | 07:10:12 | 429 | 90.22s | 021774739322356d05e5c3b12045884e5304df23f9a3a837000fe
[ERROR #13] 2026/3/29 07:10:13 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:201.6KB | Resp:0.3KB | 07:10:13 | 429 | 90.19s | 021774739323126b060a07fba38d5479db0751ac158bec56dcd42
[SUCCESS #25] 2026/3/29 07:10:15 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:50817+98+18r | Req:201.6KB | Resp:23.3KB | 07:10:46 | 200 | 31.00s | 021774739415325b060a07fba38d5479db0751ac158bec584fc6b
[SUCCESS #26] 2026/3/29 07:10:14 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:34577+207+31r | Req:117.6KB | Resp:47.6KB | 07:10:55 | 200 | 41.24s | 0217747394146089bd9cace4a318cf0466815a250fa99d0bfcaf2
[SUCCESS #27] 2026/3/29 07:09:53 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:32685+252+52r | Req:113.4KB | Resp:60.1KB | 07:11:02 | 200 | 69.28s | 021774739393711289ee8f5cd43d8cc040debd1abd108aed14cdb
[SUCCESS #28] 2026/3/29 07:09:22 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:41594+103+15r-16440c | Req:161.4KB | Resp:23.3KB | 07:11:08 | 200 | 105.33s | 021774739362912336c0ccc8833e375a271994f02c20b09316841
[ERROR #14] 2026/3/29 07:11:17 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:179.6KB | Resp:0.3KB | 07:11:17 | 429 | 90.22s | 021774739387108beb22b84618335a214e9b1bc67d5e6c3afb536
[ERROR #15] 2026/3/29 07:11:17 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:126.6KB | Resp:0.3KB | 07:11:17 | 429 | 90.20s | 0217747393872412b482879bf9ba508fa4c5c25749ab559eb0ee3
[ERROR #16] 2026/3/29 07:11:44 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:304.8KB | Resp:0.3KB | 07:11:44 | 429 | 90.23s | 021774739414588d05e5c3b12045884e5304df23f9a3a839c1754
[ERROR #17] 2026/3/29 07:11:44 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:152.3KB | Resp:0.3KB | 07:11:44 | 429 | 90.21s | 021774739414687d7b3351599aaeccdacf18b44507ad3d5cd14da
[SUCCESS #29] 2026/3/29 07:11:23 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:41824+113+35r-41528c | Req:162.2KB | Resp:25.6KB | 07:11:44 | 200 | 20.87s | 0217747394836119a0d83abff91b62c26f47d22f8f162255ccb73
[SUCCESS #30] 2026/3/29 07:11:25 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:32237+302+75r-16440c | Req:126.6KB | Resp:61.0KB | 07:11:58 | 200 | 32.73s | 021774739485455d619db30bd0c9858e230a26bb1693525a4883e
[SUCCESS #31] 2026/3/29 07:10:49 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:60025+1097+72r-16440c | Req:240.5KB | Resp:322.8KB | 07:12:02 | 200 | 72.63s | 021774739449745b060a07fba38d5479db0751ac158bec5e725d2
[SUCCESS #32] 2026/3/29 07:11:25 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:58603+348+148r | Req:179.6KB | Resp:85.4KB | 07:12:12 | 200 | 47.61s | 021774739485341f742ef2c206840dc107957f7b221b0ff24b596
[SUCCESS #33] 2026/3/29 07:10:59 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:47359+110+33r-16440c | Req:168.3KB | Resp:24.6KB | 07:12:22 | 200 | 82.83s | 0217747394600369bd9cace4a318cf0466815a250fa99d0f98663
[SUCCESS #34] 2026/3/29 07:11:52 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:42157+109+14r-16440c | Req:152.3KB | Resp:25.3KB | 07:12:23 | 200 | 30.50s | 021774739512914d05e5c3b12045884e5304df23f9a3a834b2892
[SUCCESS #35] 2026/3/29 07:11:46 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:43112+107+25r | Req:164.8KB | Resp:23.9KB | 07:12:26 | 200 | 39.96s | 021774739506129d05e5c3b12045884e5304df23f9a3a83301c21
[SUCCESS #36] 2026/3/29 07:11:06 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:51203+292+44r-16440c | Req:185.5KB | Resp:69.0KB | 07:12:37 | 200 | 90.75s | 021774739466849289ee8f5cd43d8cc040debd1abd108ae33580d
[SUCCESS #37] 2026/3/29 07:12:27 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:43584+107+26r-43064c | Req:165.9KB | Resp:24.2KB | 07:12:43 | 200 | 15.60s | 021774739547491d05e5c3b12045884e5304df23f9a3a83237db5
[SUCCESS #38] 2026/3/29 07:12:04 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:49749+210+46r | Req:200.5KB | Resp:50.2KB | 07:13:10 | 200 | 66.73s | 021774739524175d619db30bd0c9858e230a26bb1693525aa0240
[SUCCESS #40] 2026/3/29 07:12:44 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:45845+117+34r | Req:170.1KB | Resp:27.4KB | 07:13:31 | 200 | 46.92s | 021774739564459d05e5c3b12045884e5304df23f9a3a8356db2f
[SUCCESS #41] 2026/3/29 07:12:26 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:42395+94+14r-16440c | Req:153.1KB | Resp:19.8KB | 07:13:31 | 200 | 65.59s | 021774739546293d05e5c3b12045884e5304df23f9a3a83369989
[SUCCESS #42] 2026/3/29 07:13:13 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:59313+276+19r-16440c | Req:240.9KB | Resp:82.4KB | 07:13:42 | 200 | 29.22s | 021774739593698d619db30bd0c9858e230a26bb16935259e7a8f
[SUCCESS #43] 2026/3/29 07:12:24 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:48766+162+17r-16440c | Req:171.0KB | Resp:29.5KB | 07:13:49 | 200 | 85.22s | 0217747395443709bd9cace4a318cf0466815a250fa99d0ea2d2b
[SUCCESS #39] 2026/3/29 07:11:48 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:98035+2148+32r-16440c | Req:304.8KB | Resp:627.6KB | 07:13:29 | 200 | 101.19s | 0217747395088189a0d83abff91b62c26f47d22f8f16225da77fe
[SUCCESS #44] 2026/3/29 07:13:33 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:42851+120+18r-42296c | Req:154.1KB | Resp:23.3KB | 07:13:59 | 200 | 26.59s | 021774739613047d05e5c3b12045884e5304df23f9a3a831c4473
[SUCCESS #45] 2026/3/29 07:12:17 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:98815+150+57r-16440c | Req:284.3KB | Resp:37.9KB | 07:14:00 | 200 | 103.21s | 021774739537725f742ef2c206840dc107957f7b221b0ffe6591b
[SUCCESS #46] 2026/3/29 07:13:32 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:46476+136+44r-45624c | Req:171.5KB | Resp:33.4KB | 07:14:04 | 200 | 31.40s | 021774739612835d05e5c3b12045884e5304df23f9a3a83cc0962
[SUCCESS #47] 2026/3/29 07:13:52 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:51678+253+58r-48696c | Req:182.0KB | Resp:55.7KB | 07:14:15 | 200 | 23.56s | 0217747396321009bd9cace4a318cf0466815a250fa99d0b143d0
[SUCCESS #48] 2026/3/29 07:12:41 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:72889+164+27r-16440c | Req:267.3KB | Resp:35.1KB | 07:14:18 | 200 | 97.39s | 021774739561332c9a2a2bfec8b82a34b9075d10d5d2c5e27477e
[SUCCESS #50] 2026/3/29 07:13:48 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:60327+152+32r-16440c | Req:243.1KB | Resp:30.3KB | 07:14:25 | 200 | 36.48s | 021774739628891d619db30bd0c9858e230a26bb1693525700c35
[SUCCESS #49] 2026/3/29 07:14:05 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:46792+240+39r-46392c | Req:172.4KB | Resp:53.8KB | 07:14:24 | 200 | 19.07s | 021774739645794d05e5c3b12045884e5304df23f9a3a836f0f72
[SUCCESS #51] 2026/3/29 07:14:01 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:52833+148+44r-16440c | Req:189.1KB | Resp:37.6KB | 07:14:29 | 200 | 28.09s | 0217747396413579a0d83abff91b62c26f47d22f8f162251a3fe0
[SUCCESS #52] 2026/3/29 07:14:20 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:64364+110+15r | Req:230.7KB | Resp:25.1KB | 07:14:31 | 200 | 10.83s | 0217747396607049bd9cace4a318cf0466815a250fa99d086422b
[SUCCESS #53] 2026/3/29 07:14:03 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:98990+110+23r-20024c | Req:285.1KB | Resp:25.3KB | 07:14:32 | 200 | 29.17s | 021774739643092f742ef2c206840dc107957f7b221b0ff7ba8a9
[SUCCESS #55] 2026/3/29 07:14:32 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:53112+101+12r-52792c | Req:190.1KB | Resp:22.1KB | 07:14:38 | 200 | 5.58s | 0217747396727239a0d83abff91b62c26f47d22f8f1622539ea3b
[SUCCESS #54] 2026/3/29 07:14:27 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:61556+227+77r-60216c | Req:247.8KB | Resp:49.8KB | 07:14:36 | 200 | 9.00s | 021774739667764af079c8b3daea2503bdca6879dc89b1fe81e16
[SUCCESS #56] 2026/3/29 07:14:30 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:53066+230+36r-46648c | Req:193.5KB | Resp:48.0KB | 07:14:38 | 200 | 8.68s | 021774739670207d05e5c3b12045884e5304df23f9a3a83984c05
[SUCCESS #57] 2026/3/29 07:14:34 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:64601+173+22r-16440c | Req:231.6KB | Resp:40.0KB | 07:14:42 | 200 | 8.29s | 0217747396746489bd9cace4a318cf0466815a250fa99d056e9e5
[SUCCESS #59] 2026/3/29 07:14:39 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:53756+93+17r-53048c | Req:191.5KB | Resp:19.5KB | 07:14:51 | 200 | 12.42s | 0217747396796159a0d83abff91b62c26f47d22f8f16225850300
[SUCCESS #61] 2026/3/29 07:14:37 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:99226+106+25r | Req:285.9KB | Resp:23.5KB | 07:14:56 | 200 | 19.20s | 021774739677768f742ef2c206840dc107957f7b221b0ff1eb74c
[SUCCESS #58] 2026/3/29 07:14:21 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:291.2KB | Resp:427.3KB | 07:14:45 | 200 | 23.86s | 021774739661966fadef930ee560a642a71bddf4d1e9937d9b12e
[SUCCESS #63] 2026/3/29 07:14:53 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:54268+68+13r-53560c | Req:192.6KB | Resp:14.0KB | 07:15:12 | 200 | 19.10s | 0217747396931529a0d83abff91b62c26f47d22f8f16225fa530f
[SUCCESS #64] 2026/3/29 07:14:58 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:102456+207+57r-99128c | Req:291.8KB | Resp:43.7KB | 07:15:15 | 200 | 17.09s | 021774739698536f742ef2c206840dc107957f7b221b0ffa78cf3
[SUCCESS #65] 2026/3/29 07:15:13 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:63769+214+67r-54072c | Req:226.2KB | Resp:46.4KB | 07:15:27 | 200 | 14.03s | 0217747397131519a0d83abff91b62c26f47d22f8f16225ed0910
[SUCCESS #66] 2026/3/29 07:15:18 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:103210+74+22r-102456c | Req:294.6KB | Resp:15.6KB | 07:15:30 | 200 | 11.99s | 021774739718859f742ef2c206840dc107957f7b221b0ffbb11b7
[SUCCESS #62] 2026/3/29 07:14:42 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:75471+2891+22r-53048c | Req:268.9KB | Resp:844.3KB | 07:15:00 | 200 | 17.30s | 021774739682882d05e5c3b12045884e5304df23f9a3a83133732
[SUCCESS #60] 2026/3/29 07:14:41 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:84563+3151+26r-61496c | Req:321.4KB | Resp:921.1KB | 07:14:56 | 200 | 15.34s | 021774739681145af079c8b3daea2503bdca6879dc89b1f54c15b
[SUCCESS #67] 2026/3/29 07:15:32 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:65652+226+61r-16440c | Req:233.5KB | Resp:52.5KB | 07:15:47 | 200 | 14.90s | 021774739732704f742ef2c206840dc107957f7b221b0ffc2e29e
[SUCCESS #68] 2026/3/29 07:15:32 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:103415+171+50r-102968c | Req:295.4KB | Resp:37.7KB | 07:15:50 | 200 | 18.49s | 0217747397320839a0d83abff91b62c26f47d22f8f162253f386f
[ERROR #18] 2026/3/29 07:16:16 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:251.0KB | Resp:0.3KB | 07:16:16 | 429 | 90.22s | 0217747396861669bd9cace4a318cf0466815a250fa99d0612bf4
[SUCCESS #69] 2026/3/29 07:15:52 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:111477+157+33r | Req:323.6KB | Resp:30.6KB | 07:16:23 | 200 | 30.22s | 0217747397530049a0d83abff91b62c26f47d22f8f16225e55995
[SUCCESS #70] 2026/3/29 07:16:25 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:112728+149+31r-111416c | Req:328.0KB | Resp:30.5KB | 07:16:33 | 200 | 7.28s | 0217747397859579a0d83abff91b62c26f47d22f8f1622527da85
[SUCCESS #71] 2026/3/29 07:16:18 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:251.0KB | Resp:32.8KB | 07:16:33 | 200 | 15.54s | 0217747397783949bd9cace4a318cf0466815a250fa99d031200a
[SUCCESS #73] 2026/3/29 07:16:36 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:73542+148+18r-71992c | Req:255.2KB | Resp:30.5KB | 07:16:45 | 200 | 9.62s | 0217747397960559bd9cace4a318cf0466815a250fa99d0eb1c3e
[SUCCESS #72] 2026/3/29 07:15:52 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:89395+1024+20r | Req:322.8KB | Resp:300.3KB | 07:16:37 | 200 | 45.04s | 02177473975244660d9d1fce08649db5f71e61508d2f87f7affc5
[SUCCESS #74] 2026/3/29 07:16:35 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:148457+97+33r-112696c | Req:437.7KB | Resp:22.8KB | 07:16:52 | 200 | 16.48s | 0217747397958999a0d83abff91b62c26f47d22f8f16225d5f6da
[SUCCESS #76] 2026/3/29 07:16:53 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:152876+107+24r-148280c | Req:450.3KB | Resp:24.0KB | 07:17:15 | 200 | 21.60s | 02177473981387760d9d1fce08649db5f71e61508d2f87f915e87
[SUCCESS #75] 2026/3/29 07:16:47 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:75575+2361+22r-73528c | Req:262.4KB | Resp:689.1KB | 07:17:02 | 200 | 14.96s | 0217747398076209bd9cace4a318cf0466815a250fa99d0d75448
[SUCCESS #77] 2026/3/29 07:17:17 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:153136+1855+17r | Req:451.1KB | Resp:541.6KB | 07:17:43 | 200 | 26.73s | 02177473983724960d9d1fce08649db5f71e61508d2f87f3ddfb1
[SUCCESS #78] 2026/3/29 07:18:11 | ::ffff:127.0.0.1 | ark-code-latest | Tokens:43323+226 | Req:162.0KB | Resp:51.8KB | 07:18:14 | 200 | 2.97s | 021774739891142ff0e10ef3dc4fa8284497cad29aae403e3e2d4
[SUCCESS #79] 2026/3/29 07:18:16 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:16777+235+148r-16440c | Req:63.4KB | Resp:58.2KB | 07:18:25 | 200 | 9.35s | 021774739896154ff0e10ef3dc4fa8284497cad29aae40398a5d1
[SUCCESS #80] 2026/3/29 07:18:31 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:18160+172+87r-16696c | Req:68.2KB | Resp:38.2KB | 07:18:34 | 200 | 2.63s | 021774739911944ff0e10ef3dc4fa8284497cad29aae403c5a2d7
[SUCCESS #81] 2026/3/29 07:18:38 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:19482+211+93r-17976c | Req:72.3KB | Resp:57.5KB | 07:18:42 | 200 | 3.58s | 021774739918505ff0e10ef3dc4fa8284497cad29aae403ed3ef6
[SUCCESS #82] 2026/3/29 07:18:44 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:19823+243+20r-19256c | Req:73.5KB | Resp:72.3KB | 07:18:47 | 200 | 3.07s | 021774739924887ff0e10ef3dc4fa8284497cad29aae403ad4cd4
[SUCCESS #83] 2026/3/29 07:18:55 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:22130+165+74r-19768c | Req:77.9KB | Resp:42.0KB | 07:19:02 | 200 | 7.08s | 02177473993528370efbf1cf5c1ae3d0b3f284807454d2935598f
[SUCCESS #84] 2026/3/29 07:19:04 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:23120+120+38r-22072c | Req:79.9KB | Resp:28.1KB | 07:19:08 | 200 | 4.16s | 02177473994465370efbf1cf5c1ae3d0b3f284807454d29a3e90f
